source,target
10.1016/j.ijhcs.2015.08.008,"KENDALL GS, 1991, COMPUT MUSIC J, V15, P70, DOI 10.2307/3681076"
10.1016/j.ijhcs.2015.08.008,"Kramer G., 2010, Sonification Report: Status of the Field and Research Agenda, V444"
10.1016/j.ijhcs.2015.08.008,"Kramer G., 1996, INT C AUD DISPL"
10.1016/j.ijhcs.2015.08.008,"Kramer G., 1994, P 18 SFI STUD SCI CO"
10.1016/j.ijhcs.2015.08.008,"MADHYASTHA T, 1994, AUDITORY DISPLAY SON, P267"
10.1016/j.ijhcs.2015.08.008,"McDermott JH, 2008, CURR OPIN NEUROBIOL, V18, P452, DOI 10.1016/j.conb.2008.09.005"
10.1016/j.ijhcs.2015.08.008,"Neuhoff J.G., 2000, SONIFICATION INTERAC"
10.1016/j.ijhcs.2015.08.008,"Nikolaidis R, 2012, COMPUT MUSIC J, V36, P55, DOI 10.1162/COMJ_a_00105"
10.1016/j.ijhcs.2015.08.008,"Ploog D. W., 1992, NONVERBAL VOCAL COMM, V6"
10.1016/j.ijhcs.2015.08.008,"Presti G., 2013, 10 INT S COMP MUS MU, P967"
10.1016/j.ijhcs.2015.08.008,"Presti G., 2015, P 12 SOUND MUS COMP, P379"
10.1016/j.ijhcs.2015.08.008,"Schafer R.Murray., 1993, SOUNDSCAPE OUR SONIC"
10.1016/j.ijhcs.2015.08.008,"Smith S., 1990, P IEEE VIS"
10.1016/j.ijhcs.2015.08.008,"Wang D., 2006, Computational Auditory Scene Analysis"
,"[Anonymous], 1927, SEIN Z"
,"Bovermann T., 2006, 1 INT WORKSH HAPT AU, V2, P26"
,"Buxton B., 2009, MULTITOUCH SYSTEMS I"
,"Dourish P., 2001, ACTION IS FDN EMBODI"
,"FISHER RA, 1999, UCI REPOSITORY MASCH"
,"FORINA M, ARVUS EXTENDIBLE PAC"
,"Fritzke B., 1995, Adv. Neural Inf. Process. Syst., V7, P625"
,"Fry Ben., 2001, Processing Programming Language"
,"Han J.Y., 2005, UIST P ANN ACM S US, P115"
,"HANSEN T, 2009, P INT C INT TABL SUR"
,"HERMANN T, 2008, P INT  C AUD DISPL I"
,"HERMANN T, 1995, 4 2004 P INF VIS 8 I, P871"
,"HERMANN T, 2006, P INT C AUD DISPL IC, P69"
,"Hermann T., 1999, ADV INTELLIGENT COMP, P189"
,"HERMANN T., 2002, THESIS BIELEFELD U"
,"Hermann Thomas., 2002, Proceedings of the International Conference on Auditory Display, P82"
,"Hunt A, 2004, IEEE INFOR VIS, P879, DOI 10.1109/IV.2004.1320244"
,"Kramer G., 1994, Auditory Display: Sonification, Audification and Auditory Interfaces"
,"Kramer G., 1997, SONIFICATION REPORT"
,"Levenberg Kenneth., 1944, A method for the solution of certain non-linear problems in least squares, P164, DOI [10.1090/qam/10666, DOI 10.1090/QAM/10666]"
,"MARQUARDT DW, 1963, J SOC IND APPL MATH, V11, P431, DOI 10.1137/0111030"
,"MCCARTNEY J, 2004, SUPERCOLLIDER HUB"
,"STINSON PK, 2009, SCOSC SUPERCOLLIDER"
,"ZITO T, 2008, MODULAR TOOLKIT DATA"
10.17743/jaes.2022.0133,"Acoustical Society of America and Institute of Radio Engineers, 1951, Acoustical Terminology."
10.17743/jaes.2022.0133,"Anderson JE, 2009, J EXP PSYCHOL-APPL, V15, P183, DOI 10.1037/a0016329"
10.17743/jaes.2022.0133,"Arfib D., 2002, Organised Sound, V7, P127, DOI DOI 10.1017/S1355771802002054"
10.17743/jaes.2022.0133,"AURES W, 1985, ACUSTICA, V59, P130"
10.17743/jaes.2022.0133,"Barrass S., 2011, The sonification handbook, P145"
10.17743/jaes.2022.0133,"Barrass S., 2008, P 14 INT C AUD DISPL, P1"
10.17743/jaes.2022.0133,"Bergassoli A, 1999, Acoustics: Basic Physics, Theory and Methods, P1"
10.17743/jaes.2022.0133,"Bijsterveld K., 2019, Sonic skills: Listening for Knowledge in Science, Medicine and Engineering (1920s-present), DOI DOI 10.1057/978-1-137-59829-5"
10.17743/jaes.2022.0133,"Blauert J., 1997, SPATIAL HEARING"
10.17743/jaes.2022.0133,"Bliss J. P., 2007, P INT C AUD DISPL IC, P154"
10.17743/jaes.2022.0133,"Bonebright T.L., 2011, The Sonification Handbook, P111"
10.17743/jaes.2022.0133,"Bovermann T., 2011, The Sonification Handbook, P237"
10.17743/jaes.2022.0133,"Bruneau M., 2006, Fundamentals of acoustics"
10.17743/jaes.2022.0133,"Carlile S., 2011, The Sonification Handbook, P41"
10.17743/jaes.2022.0133,"Chowning J., 1986, FM THEORY APPL MUSIC"
10.17743/jaes.2022.0133,"Cuevas-Garcia CA, 2018, INTERDISCIPL SCI REV, V43, P54, DOI 10.1080/03080188.2016.1264133"
10.17743/jaes.2022.0133,"d Campo A., 2006, International Conference on Auditory Display, London, UK, P28"
10.17743/jaes.2022.0133,"Daniel KE, 2022, PLOS ONE, V17, DOI 10.1371/journal.pone.0267234"
10.17743/jaes.2022.0133,"Daye C., 2015, P 21 INT C AUD DISPL, P54"
10.17743/jaes.2022.0133,"Dayé C, 2006, INTERDISCIPL SCI REV, V31, P349, DOI 10.1179/030801806X143286"
10.17743/jaes.2022.0133,"Degara N., 2013, P 4 INTERACTIVE SONI, P52"
10.17743/jaes.2022.0133,"Degara N., 2013, P 19 INT C AUD DISPL, P167"
10.17743/jaes.2022.0133,"Delle Monache S, 2022, DESIGN STUD, V83, DOI 10.1016/j.destud.2022.101134"
10.17743/jaes.2022.0133,"Deymier P, 2017, SPRINGER SER SOLID-S, V188, P1, DOI 10.1007/978-3-319-62380-1"
10.17743/jaes.2022.0133,"Drymonitis A., 2015, Digital Electronics for Musicians, pXXI"
10.17743/jaes.2022.0133,"Dubus G, 2013, PLOS ONE, V8, DOI 10.1371/journal.pone.0082491"
10.17743/jaes.2022.0133,"Enge Kajetan, 2023, Pers Ubiquitous Comput, V27, P1949, DOI [10.1007/s00779-023-01720-5, 10.1007/s00779-023-01720-5]"
10.17743/jaes.2022.0133,"Fastl H., 2007, Psychoacoustics: Facts and Models, DOI DOI 10.1007/978-3-540-68888-4"
10.17743/jaes.2022.0133,"Ferguson S., 2006, 12 INT C AUDITORY DI, P113"
10.17743/jaes.2022.0133,"Frauenberger Christopher, 2007, BCS Learning & Development, DOI DOI 10.14236/EWIC/HCI2007.19"
10.17743/jaes.2022.0133,"Gallagher Mitch., 2009, The Music Tech Dictionary: A Glossary of Audio-Related Terms and Technologies"
10.17743/jaes.2022.0133,"Gelfand S A., 1990, Hearing: An introduction to psychological and physiological acoustics, V2nd"
10.17743/jaes.2022.0133,"Gethmann CF, 2015, ETHICS SCI TECH ASS, V43, P1, DOI 10.1007/978-3-319-11400-2"
10.17743/jaes.2022.0133,"Ginsberg J.H., 2018, Acoustics -A Textbook for Engineers and Physicists: Volume I: Applications, V1st, DOI [10.1007/978-3-319-56847-8, DOI 10.1007/978-3-319-56847-8]"
10.17743/jaes.2022.0133,"Ginsberg J. H., 2018, Fundamentals., VI, DOI [10.1007/978-3-319-56844-7, DOI 10.1007/978-3-319-56844-7]"
10.17743/jaes.2022.0133,"Gonzales J., 2011, P 17 INT C AUD DISPL"
10.17743/jaes.2022.0133,"Goudarzi V., 2020, P 3 INT C HUM INT EM, P140"
10.17743/jaes.2022.0133,"Grond F., 2011, P 17 ANN C AUD DISPL"
10.17743/jaes.2022.0133,"Guillaume P., 2006, Music and Acoustics."
10.17743/jaes.2022.0133,"Hartmann W. M., 2013, Undergraduate Lecture Notes in Physics (ULNP), DOI [10.1007/978-1-4614-6786-1, DOI 10.1007/978-1-4614-6786-1]"
10.17743/jaes.2022.0133,"HAYWARD C, 1994, SFI S SCI C, V18, P369"
10.17743/jaes.2022.0133,"Heller E. J., 2013, An Experiential Approach to Sound, Music, and Psychoacoustics"
10.17743/jaes.2022.0133,"Hermann T., 2011, The Sonification Handbook, P1"
10.17743/jaes.2022.0133,"Hermann T., 2011, SONIFICATION HDB"
10.17743/jaes.2022.0133,"Hermann T, 2008, P 14 INT C AUD DISPL"
10.17743/jaes.2022.0133,"Hinckfuss K, 2016, HUM FACTORS, V58, P344, DOI 10.1177/0018720815617406"
10.17743/jaes.2022.0133,"Hunt A., 2011, The Sonification Handbook, P273"
10.17743/jaes.2022.0133,"Kalonaris S., 2023, P 28 INT C AUD DISPL, P70, DOI DOI 10.21785/ICAD2023.5731"
10.17743/jaes.2022.0133,"Karam Naouel, 2016, Datenbank-Spektrum, V16, P195, DOI [10.1007/s13222-016-0231-8, 10.1007/s13222-016-0231-8]"
10.17743/jaes.2022.0133,"Kilander F., 2002, P 8 INT C AUD DISPL"
10.17743/jaes.2022.0133,"Kramer G., 1998, NSF Sonification White Paper."
10.17743/jaes.2022.0133,"Lenzi S, 2020, BIG DATA SOC, V7, DOI 10.1177/2053951720944603"
10.17743/jaes.2022.0133,"Leplatre G., 1998, P 5 INT C AUD DISPL, P1"
10.17743/jaes.2022.0133,"London Justin., 2004, Hearing in Time"
10.17743/jaes.2022.0133,"Mardakheh MK, 2022, LEONARDO, V55, P516, DOI 10.1162/leon_a_02257"
10.17743/jaes.2022.0133,"Metcalf T, 2021, LEONARDO, V54, P327, DOI 10.1162/leon_a_01964"
10.17743/jaes.2022.0133,"Ming X, 2023, LEARN CULT SOC INTER, V40, DOI 10.1016/j.lcsi.2023.100716"
10.17743/jaes.2022.0133,"Miranda ER, 2016, NAT PHYS, V12, P721, DOI [10.1038/nphys3848, 10.1038/nphys3848, DOI 10.1038/NPHYS3848]"
10.17743/jaes.2022.0133,"Mores R, 2018, SPRINGER HBK, P220, DOI 10.1007/978-3-662-55004-5_12"
10.17743/jaes.2022.0133,"Nadri Chihab, 2021, Proceedings of the Human Factors and Ergonomics Society Annual Meeting, V65, P586, DOI [10.1177/1071181321651071, 10.1177/1071181321651071]"
10.17743/jaes.2022.0133,"Nesbitt K. V., 2004, P 10 INT C AUD DISPL"
10.17743/jaes.2022.0133,"Neuhoff J.G., 2011, The Sonification Handbook, P63"
10.17743/jaes.2022.0133,"Neuhoff John G., 2019, INT C AUDITORY DISPL, P327, DOI DOI 10.21785/ICAD2019.069"
10.17743/jaes.2022.0133,"Obrenovic Z., 2002, Proceedings 2002 IEEE International Conference on Multimedia and Expo (Cat. No.02TH8604), P29, DOI 10.1109/ICME.2002.1035366"
10.17743/jaes.2022.0133,"Polotti P, 2013, INT J DES, V7, P67"
10.17743/jaes.2022.0133,"Raake A, 2012, J AUDIO ENG SOC, V60, P147"
10.17743/jaes.2022.0133,"Reinsch D., 2023, P 28 INT C AUD DISPL, P62, DOI DOI 10.21785/ICAD2023.5580"
10.17743/jaes.2022.0133,"Roederer Juan., 2008, PHYS PSYCHOPHYSICS M, V4th, DOI 10.1007/978-0-387-09474-8_1"
10.17743/jaes.2022.0133,"Scaletti Carla., 2018, The Oxford Handbook of Algorithmic Music, V1, P363, DOI [DOI 10.1093/OXFORDHB/9780190226992.013.9, 10.1093/oxfordhb/9780190226992.013.9]"
10.17743/jaes.2022.0133,"Schneider A, 2018, SPRINGER HBK, P605, DOI 10.1007/978-3-662-55004-5_31"
10.17743/jaes.2022.0133,"Schneider A, 2018, SPRINGER HBK, P1, DOI 10.1007/978-3-662-55004-5_1"
10.17743/jaes.2022.0133,"Schneider A, 2018, SPRINGER HBK, P559, DOI 10.1007/978-3-662-55004-5_30"
10.17743/jaes.2022.0133,"Schneider A, 2018, SPRINGER HBK, P687, DOI 10.1007/978-3-662-55004-5_32"
10.17743/jaes.2022.0133,"Schwarz Sebastian, 2019, P 25 INT C AUD DISPL, DOI DOI 10.21785/ICAD2019.024"
10.17743/jaes.2022.0133,"Sengpiel E., 2014, Forum fur Mikrofonaufnahmetechnik und Tonstudiotechnik"
10.17743/jaes.2022.0133,"Supper A., 2012, OXFORD HDB SOUND STU, P249"
10.17743/jaes.2022.0133,"Tomlinson BJ, 2018, CHI 2018: EXTENDED ABSTRACTS OF THE 2018 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, DOI 10.1145/3170427.3188659"
10.17743/jaes.2022.0133,"Truax B., 1999, HDB ACOUSTIC ECOLOGY"
10.17743/jaes.2022.0133,"Tsuji K., 2021, Physics and Music: Essential Connections and Illuminating Excursions, DOI [10.1007/978-3-030-68676-5, DOI 10.1007/978-3-030-68676-5]"
10.17743/jaes.2022.0133,"Vickers P., 2012, J. Sonic Stud.., V2"
10.17743/jaes.2022.0133,"Vogt K, 2012, J AUDIO ENG SOC, V60, P926"
10.17743/jaes.2022.0133,"Walker B.N., 2011, The Sonification Handbook, P9"
10.17743/jaes.2022.0133,"Walker BN, 2002, J EXP PSYCHOL-APPL, V8, P211, DOI 10.1037/1076-898X/8.4.211"
10.17743/jaes.2022.0133,"Walker Bruce., 2004, Ecological Psychoacoustics, P149"
10.17743/jaes.2022.0133,"Walker BN, 2007, APPL COGNITIVE PSYCH, V21, P579, DOI 10.1002/acp.1291"
10.17743/jaes.2022.0133,"Wang ZY, 2023, J KING SAUD UNIV-COM, V35, DOI 10.1016/j.jksuci.2023.101569"
10.17743/jaes.2022.0133,"White G. D., 2005, The Auditory Dictionary., V3rd"
10.17743/jaes.2022.0133,"Worrall D, 2019, HUM-COMPUT INT-SPRIN, P1, DOI 10.1007/978-3-030-01497-1"
10.17743/jaes.2022.0133,"Ziemer T, 2020, CURR RES SYST MUSIC, V7, P1, DOI 10.1007/978-3-030-23033-3"
10.17743/jaes.2022.0133,"Ziemer T., 2019, P 25 INT C AUD DISPL, DOI [DOI 10.21785/ICAD2019.018, 10.21785/icad2019.018]"
10.17743/jaes.2022.0133,"Ziemer T., 2017, Int. J. Comput. Assist. Radiol. Surg., V12, P265, DOI DOI 10.1007/S11548-017-1588-3"
10.17743/jaes.2022.0133,"Ziemer T, 2022, FRONT NEUROSCI-SWITZ, V16, DOI 10.3389/fnins.2022.930944"
10.17743/jaes.2022.0133,"Ziemer T, 2019, J MULTIMODAL USER IN, V13, P205, DOI 10.1007/s12193-018-0282-2"
10.17743/jaes.2022.0133,"Ziemer T, 2018, ACTA ACUST UNITED AC, V104, P1075, DOI 10.3813/AAA.919273"
10.17743/jaes.2022.0133,"Ziemer T, 2017, CURR RES SYST MUSIC, V4, P299, DOI 10.1007/978-3-319-47292-8_10"
10.17743/jaes.2022.0133,"Ziemer Tim, 2021, 26 INT C AUD DISPL I, P233, DOI DOI 10.21785/ICAD2021.026"
10.1145/3335082.3335097,"Artero AO, 2004, IEEE SYMPOSIUM ON INFORMATION VISUALIZATION 2004, PROCEEDINGS, P81, DOI 10.1109/INFVIS.2004.68"
10.1145/3335082.3335097,"*CIE, 1932, COMM INT EC P"
10.1145/3335082.3335097,"Deliege Irene., 1997, PERCEPTION COGNITION"
10.1145/3335082.3335097,"Ellis G, 2007, IEEE T VIS COMPUT GR, V13, P1216, DOI 10.1109/TVCG.2007.70535"
10.1145/3335082.3335097,"Flowers J.H., 2005, ACM Transactions on Applied Perception, V2, P467472, DOI DOI 10.1145/1101530.1101544"
10.1145/3335082.3335097,"Flowers JH, 1997, HUM FACTORS, V39, P341, DOI 10.1518/001872097778827151"
10.1145/3335082.3335097,"Franinovic K, 2013, SONIC INTERACTION DESIGN, P39"
10.1145/3335082.3335097,"Hermann T., 2011, SONIFICATION HDB"
10.1145/3335082.3335097,"Juslin PN, 2004, J NEW MUSIC RES, V33, P217, DOI 10.1080/0929821042000317813"
10.1145/3335082.3335097,"Kasakevich M., 2007, P IPT EGVE S EUR ASS, P89, DOI DOI 10.2312/PE/VE2007SHORT/089-094"
10.1145/3335082.3335097,"Kramer Gregory, 2010, Faculty Publications, Department of Psychology, V444, P1"
10.1145/3335082.3335097,"Law LNC, 2012, PLOS ONE, V7, DOI 10.1371/journal.pone.0052508"
10.1145/3335082.3335097,"Levitin D. J., 2006, THIS IS YOUR BRAIN M, DOI [10.1192/bjp.bp.108.050138, DOI 10.1192/BJP.BP.108.050138]"
10.1145/3335082.3335097,"McCartney J, 2002, COMPUT MUSIC J, V26, P61, DOI 10.1162/014892602320991383"
10.1145/3335082.3335097,"McCartney J., 1996, P INT COMPUTER MUSIC, P257"
10.1145/3335082.3335097,"Nesbitt Keith V., 2002, P 8 INT C AUD DISPL, P2"
10.1145/3335082.3335097,"Philipsen Lotte, 2018, The Aesthetics of Scientific Data Representation: More Than Pretty Pictures"
10.1145/3335082.3335097,"Pinch T., 2012, OXFORD HDB SOUND STU, DOI [10.1093/oxfordhb/9780195388947.001, DOI 10.1093/OXFORDHB/9780195388947.001]"
10.1145/3335082.3335097,"Rau B, 2015, 2015 IEEE 1ST INTERNATIONAL WORKSHOP ON VIRTUAL AND AUGMENTED REALITY FOR MOLECULAR SCIENCE (VARMS@IEEEVR), P25, DOI 10.1109/VARMS.2015.7151725"
10.1145/3335082.3335097,"Riedenklau E., 2010, P 16 IN C AUD DISPL, P1"
10.1145/3335082.3335097,"Roberts G.E., 2016, From music to mathematics: Exploring the connections"
10.1145/3335082.3335097,"Ronnberg N., 2016, P IEEE VIS INF VIS20"
10.1145/3335082.3335097,"Ronnberg N., 2017, P IEEE VIS INF VIS20"
10.1145/3335082.3335097,"Rönnberg N, 2016, P23"
10.1145/3335082.3335097,"Rönnberg N, 2016, P63"
10.1145/3335082.3335097,"Ronnberg Niklas, 2016, LINKOPING ELECT C P, V103, P31"
10.1145/3335082.3335097,"Rosli MHW, 2015, IEEE COMPUT GRAPH, V35, P80, DOI 10.1109/MCG.2015.29"
10.1145/3335082.3335097,"Seashore C., 1967, PSYCHOL MUSIC"
10.1145/3335082.3335097,"Sethares W. A., 2005, TUNING TIMBRE SPECTR, DOI [10.1162/comj.2006.30.2.92, DOI 10.1162/COMJ.2006.30.2.92]"
10.1145/3335082.3335097,"Simoff S., 2008, VISUAL DATA MINING T, DOI [10.1007/978-3-540-71080-6, DOI 10.1007/978-3-540-71080-6]"
10.1145/3335082.3335097,"Smith T., 1931, T OPT SOC, V33, P73, DOI [10.1088/1475-4878/33/3/301, DOI 10.1088/1475-4878/33/3/301]"
10.1145/3335082.3335097,"Tsuchiya Takahiko, 2006, P 21 INT C AUD DISPL, P244"
10.1145/3335082.3335097,"Ware C., 2012, Information visualization: Perception for design, V3rd, DOI [DOI 10.1016/C2009-0-62432-6, 10.1016/C2009-0-62432-6.]"
10.1145/3335082.3335097,"Winckel F., 1967, MUSIC SOUND SENSATIO, DOI [10.1119/1.1974536, DOI 10.1119/1.1974536]"
10.1007/s12193-019-00311-0,"[Anonymous], 2012, OXFORD HDB SOUND STU"
10.1007/s12193-019-00311-0,"Bresin R, 2011, CORTEX, V47, P1068, DOI 10.1016/j.cortex.2011.05.009"
10.1007/s12193-019-00311-0,"CIE, 1932, COMM INT ECL P 1931"
10.1007/s12193-019-00311-0,"COHEN J, 1994, SFI S SCI C, V18, P499"
10.1007/s12193-019-00311-0,"Delieege I, 1997, PERCEPTION COGNITION"
10.1007/s12193-019-00311-0,"Eerola T, 2013, FRONT PSYCHOL, V4, DOI 10.3389/fpsyg.2013.00487"
10.1007/s12193-019-00311-0,"Ellis G, 2007, IEEE T VIS COMPUT GR, V13, P1216, DOI 10.1109/TVCG.2007.70535"
10.1007/s12193-019-00311-0,"Flowers J.H., 2005, ACM Transactions on Applied Perception, V2, P467472, DOI DOI 10.1145/1101530.1101544"
10.1007/s12193-019-00311-0,"Flowers JH, 1997, HUM FACTORS, V39, P341, DOI 10.1518/001872097778827151"
10.1007/s12193-019-00311-0,"Franinovic K, 2013, SONIC INTERACTION DESIGN, P39"
10.1007/s12193-019-00311-0,"Halim Z, 2006, SECOND INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES 2006, PROCEEDINGS, P548, DOI 10.1109/ICET.2006.336029"
10.1007/s12193-019-00311-0,"Hermann T., 2011, SONIFICATION HDB"
10.1007/s12193-019-00311-0,"Iakovides S.A., 2004, ANN GEN HOSP PSYCHIA, V3, P1, DOI DOI 10.1186/1475-2832-3-6"
10.1007/s12193-019-00311-0,"Jung R, 2008, P 14 INT C AUD DISPL"
10.1007/s12193-019-00311-0,"Juslin PN, 2004, J NEW MUSIC RES, V33, P217, DOI 10.1080/0929821042000317813"
10.1007/s12193-019-00311-0,"Juslin PN, 2003, PSYCHOL BULL, V129, P770, DOI 10.1037/0033-2909.129.5.770"
10.1007/s12193-019-00311-0,"Kainulainen A, 2006, P 12 INT C AUD DISPL, P121"
10.1007/s12193-019-00311-0,"Kasakevich M., 2007, P IPT EGVE S EUR ASS, P89, DOI DOI 10.2312/PE/VE2007SHORT/089-094"
10.1007/s12193-019-00311-0,"Levitin D.J., 2006, THIS IS YOUR BRAIN M"
10.1007/s12193-019-00311-0,"Lotto RB, 1999, P NATL ACAD SCI USA, V96, P5245, DOI 10.1073/pnas.96.9.5245"
10.1007/s12193-019-00311-0,"McCartney J, 2002, COMPUT MUSIC J, V26, P61, DOI 10.1162/014892602320991383"
10.1007/s12193-019-00311-0,"McCartney J, 1996, P ICMC"
10.1007/s12193-019-00311-0,"Nesbitt Keith V., 2002, P 8 INT C AUD DISPL, P2"
10.1007/s12193-019-00311-0,"Pallesen KJ, 2005, ANN NY ACAD SCI, V1060, P450, DOI 10.1196/annals.1360.047"
10.1007/s12193-019-00311-0,"Rau B, 2015, 2015 IEEE 1ST INTERNATIONAL WORKSHOP ON VIRTUAL AND AUGMENTED REALITY FOR MOLECULAR SCIENCE (VARMS@IEEEVR), P25, DOI 10.1109/VARMS.2015.7151725"
10.1007/s12193-019-00311-0,"Riedenklau E., 2010, P 16 IN C AUD DISPL, P1"
10.1007/s12193-019-00311-0,"Ronnberg N, 2016, P IEEE VIS INF VIS20, P1"
10.1007/s12193-019-00311-0,"Rönnberg N, 2016, P23"
10.1007/s12193-019-00311-0,"Rönnberg N, 2016, P63"
10.1007/s12193-019-00311-0,"Ronnberg Niklas, 2016, LINKOPING ELECT C P, V103, P31"
10.1007/s12193-019-00311-0,"Rosli MHW, 2015, IEEE COMPUT GRAPH, V35, P80, DOI 10.1109/MCG.2015.29"
10.1007/s12193-019-00311-0,"Seashore C., 1967, PSYCHOL MUSIC"
10.1007/s12193-019-00311-0,"Smith T., 1931, T OPT SOC, V33, P73, DOI [10.1088/1475-4878/33/3/301, DOI 10.1088/1475-4878/33/3/301]"
10.1007/s12193-019-00311-0,"Tran QT, 2000, P IFIP WG 9 3 INT C, V173, P85"
10.1007/s12193-019-00311-0,"Tsuchiya Takahiko, 2006, P 21 INT C AUD DISPL, P244"
10.1007/s12193-019-00311-0,"Ware C., 2013, INFORM VISUALIZATION"
,"[Anonymous], P ICAD 2013"
,"Bujacz M, 2012, J AUDIO ENG SOC, V60, P696"
,"Degara N., 2013, P 4 INT SON WORKSH I"
,"Degara N., 2013, P 19 INT C AUD DISPL, P167"
,"Downie JS, 2010, STUD COMPUT INTELL, V274, P93"
,"Edwards A.D., 2011, The Sonification Handbook, P431"
,"El-Shimy D, 2012, J MULTIMODAL USER IN, V5, P131, DOI 10.1007/s12193-011-0065-5"
,"Grond F., 2011, The sonification handbook, P363, DOI [10.1080/13658816.2017.1420192, DOI 10.1080/13658816.2017.1420192]"
,"Hermann T., 2008, TAXONOMY DEFINITIONS"
,"Hermann T., 2011, The Sonification Handbook, P399"
,"Hogg R.V., 1987, ENG STAT"
,"Hourlier S., 2005, HUMAN FACTORS APPROA"
,"Moore Brian., 2003, INTRO PSYCHOL HEARIN, Vfifth"
,"Nasir Tooba, 2007, P 13 INT C AUDITORY, P112"
,"Schaffert N, 2012, J AUDIO ENG SOC, V60, P551"
,"Simpson B., 2005, NEW DIR IMPR AUD EFF"
,"Vandewalle P, 2009, IEEE SIGNAL PROC MAG, V26, P37, DOI 10.1109/MSP.2009.932122"
,"Yoshida Tsubasa., 2011, Proceedings of the 2nd Augmented Human International Conference, P11, DOI DOI 10.1145/1959826.1959837"
,"Yost WA, 2009, ATTEN PERCEPT PSYCHO, V71, P1701, DOI 10.3758/APP.71.8.1701"
,"Zoubir AM, 2007, IEEE SIGNAL PROC MAG, V24, P7, DOI 10.1109/MSP.2007.4286558"
10.1109/HAVE.2009.5356116,"BARRASS S, 2000, ICAD 2000 P ATL US"
10.1109/HAVE.2009.5356116,"Bertin J., 1981, Graphics and graphic information-processing"
10.1109/HAVE.2009.5356116,"BLATTNER M.M., 1989, SIGCHI BULL, V21, P123, DOI DOI 10.1145/67880.1046599"
10.1109/HAVE.2009.5356116,"BONEBRIGHT TL, 2001, ICAD P ESP FINL, P62"
10.1109/HAVE.2009.5356116,"Brown Lorna M., 2003, P 9 INT C AUDITORY D, P284"
10.1109/HAVE.2009.5356116,"Franklin KA, 2004, IEEE INFOR VIS, P865, DOI 10.1109/IV.2004.1320242"
10.1109/HAVE.2009.5356116,"Franklin KM, 2003, IEEE INFOR VIS, P4, DOI 10.1109/IV.2003.1217949"
10.1109/HAVE.2009.5356116,"GROHN M, 2006, THESIS HELSINKI U TE"
10.1109/HAVE.2009.5356116,"Hermann T., 1999, ADV INTELLIGENT COMP, P189"
10.1109/HAVE.2009.5356116,"Kramer G., 1999, SONIFICATION REPORT"
